code	Company	Name	Email	Phone	Address	City	State	Postal Code	Country	Vat No	CF 1	CF 2	CF 3	CF 4	CF 5	CF 6
S001	Headquarter	?????????????????			HO	Office										
S002	Stock Center ( Takmao )	???????? ( ????????)			STT	Takmao City										
S003	General department of agriculture site	???????? ????????????????????			AGD	Phnom Penh										
S004	Khema international hospital site	???????? ???????????????			KMH	Phnom Penh										
S005	Tanichu tower site	???????? Tanichu Tower			TNT	Phnom Penh										
S006	Monorom Site	???????? ???????			MNR	Phnom Penh										
S007	Svay Rieng Hospital site	???????? ???????????????????????			SVR	Svay Reing Province										
S008	J-Tower 23 Floor	???????? ????? ?????? ??????			JT23	Phnom Penh										
S009	Kondo Chruy Changva site	???????? ????? ???????????			CHR	Phnom Penh										
S010	310	???????? 310			310	Phnom Penh										
S011	Yoes's Store at Chomka Dung site	???????? ????????			CHD	Phnom Penh										
S012	School-Sothearos's Secondary-PP site	????????-??????????????????-???????			SSR	Phnom Penh										
S013	School-Sammkei's Primary-KP site	????????-???????????????????????-????			SKP	Khom Pot Province										
S014	School-Secondary at Province Center-KS site	????????-??????????????????????-?????????			SKS	Khom Pong Speu Pro										
S015	School-Seirey Pheab Highschool-KD site	????????- ????????? ???? ??? ???????-???????????			SKD	Takmao City										
S016	Boeng Salang Site				BSL	Phnom Penh										
S017	Business HUB				B-HUB	Phnom Penh										
S018	Transportation					Others										
